sentence,gpt4_zeroshot_r1,gpt4_zeroshot_r2,gpt4_zeroshot_r3,answer
"jewelry designer (hand drawing), jewelry designer, gem pavilion",Jewelers and Precious Stone and Metal Workers (51-9071.00),Jewelers and Precious Stone and Metal Workers (51-9071.00),Jewelers and Precious Stone and Metal Workers (51-9071.00),Jewelers and Precious Stone and Metal Workers (51-9071.00)
"jewelry designer, artinian co. ltd. & sartoro co. ltd. & marli co. ltd., artinian co. ltd.",Jewelers and Precious Stone and Metal Workers (51-9071.00),Jewelers and Precious Stone and Metal Workers (51-9071.00),Jewelers and Precious Stone and Metal Workers (51-9071.00); Craft Artists (27-1012.00),Jewelers and Precious Stone and Metal Workers (51-9071.00)
"jewelry designer, chan luu",Jewelers and Precious Stone and Metal Workers (51-9071.00),Jewelers and Precious Stone and Metal Workers (51-9071.00),Jewelers and Precious Stone and Metal Workers (51-9071.00),Jewelers and Precious Stone and Metal Workers (51-9071.00)
"jewelry designer, ghazarian jewelry inc.",Jewelers and Precious Stone and Metal Workers (51-9071.00),Jewelers and Precious Stone and Metal Workers (51-9071.00),Jewelers and Precious Stone and Metal Workers (51-9071.00),Jewelers and Precious Stone and Metal Workers (51-9071.00)
"jewelry designer, princess exclusives",Jewelers and Precious Stone and Metal Workers (51-9071.00); Craft Artists (27-1012.00),Jewelers and Precious Stone and Metal Workers (51-9071.00),Jewelers and Precious Stone and Metal Workers (51-9071.00),Jewelers and Precious Stone and Metal Workers (51-9071.00)
"jewelry gem setting, by own",Gem and Diamond Workers (51-9071.06),Gem and Diamond Workers (51-9071.06),Jewelers and Precious Stone and Metal Workers (51-9071.00); Gem and Diamond Workers (51-9071.06),Gem and Diamond Workers (51-9071.06)
"jewelry guy, j mullins jewelry & gifts",Jewelers and Precious Stone and Metal Workers (51-9071.00),Jewelers and Precious Stone and Metal Workers (51-9071.00),Jewelers and Precious Stone and Metal Workers (51-9071.00),Jewelers and Precious Stone and Metal Workers (51-9071.00)
"job captain, form4 architecture, inc.","Architects, Except Landscape and Naval (17-1011.00)","Architects, Except Landscape and Naval (17-1011.00); Architectural and Civil Drafters (17-3011.00)","Architects, Except Landscape and Naval (17-1011.00)","Architects, Except Landscape and Naval (17-1011.00)"
"job captain, hks, inc., hks, inc","Architects, Except Landscape and Naval (17-1011.00)","Architectural and Civil Drafters (17-3011.00); Architects, Except Landscape and Naval (17-1011.00)","Architects, Except Landscape and Naval (17-1011.00)","Architects, Except Landscape and Naval (17-1011.00)"
"job captain, humphreys & partners architects","Architects, Except Landscape and Naval (17-1011.00); Architectural and Civil Drafters (17-3011.00)","Architects, Except Landscape and Naval (17-1011.00)","Architects, Except Landscape and Naval (17-1011.00)","Architects, Except Landscape and Naval (17-1011.00)"
"job coach, american training, inc.","Educational, Guidance, and Career Counselors and Advisors (21-1012.00); Rehabilitation Counselors (21-1015.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00); Rehabilitation Counselors (21-1015.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00); Training and Development Specialists (13-1151.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00);Rehabilitation Counselors (21-1015.00)"
"job coach, center for employment opportunities","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)"
"job coach, leeda services","Rehabilitation Counselors (21-1015.00); Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)"
"job coach, new horizons rehabilitation services, inc.",Rehabilitation Counselors (21-1015.00),Rehabilitation Counselors (21-1015.00),Rehabilitation Counselors (21-1015.00),Rehabilitation Counselors (21-1015.00)
"job developer, south carolina employment security commission","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)"
"job enrichment team leader, trw",Human Resources Managers (11-3121.00); Training and Development Managers (11-3131.00); Training and Development Specialists (13-1151.00),Training and Development Managers (11-3131.00),Training and Development Managers (11-3131.00); Training and Development Specialists (13-1151.00),Training and Development Managers (11-3131.00);Training and Development Specialists (13-1151.00)
"job foreman, pitt rental center",First-Line Supervisors of Construction Trades and Extraction Workers (47-1011.00),First-Line Supervisors of Construction Trades and Extraction Workers (47-1011.00),First-Line Supervisors of Construction Trades and Extraction Workers (47-1011.00),First-Line Supervisors of Construction Trades and Extraction Workers (47-1011.00)
"joint network node operator, us army","Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00); Command and Control Center Specialists (55-3015.00)","Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00); Command and Control Center Specialists (55-3015.00)","Command and Control Center Specialists (55-3015.00); Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00)","Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00);Command and Control Center Specialists (55-3015.00)"
"journeyman carpenter, various projects",Carpenters (47-2031.00),Carpenters (47-2031.00),Carpenters (47-2031.00),Carpenters (47-2031.00)
"journeyman cne operator, usg",None (00-0000.00),Computer Network Support Specialists (15-1231.00),Computer Network Support Specialists (15-1231.00),Computer Network Support Specialists (15-1231.00)
"journeyman electrician, adman electric inc",Electricians (47-2111.00),Electricians (47-2111.00),Electricians (47-2111.00),Electricians (47-2111.00)
"journeyman electrician, construction force services, inc.",Electricians (47-2111.00),Electricians (47-2111.00),Electricians (47-2111.00),Electricians (47-2111.00)
"journeyman ironworker, ironworkers local 292",Reinforcing Iron and Rebar Workers (47-2171.00); Structural Iron and Steel Workers (47-2221.00),Structural Iron and Steel Workers (47-2221.00),Reinforcing Iron and Rebar Workers (47-2171.00); Structural Iron and Steel Workers (47-2221.00),Reinforcing Iron and Rebar Workers (47-2171.00);Structural Iron and Steel Workers (47-2221.00)
"journeyman line clearance tree trimmer, shade tree service company",Tree Trimmers and Pruners (37-3013.00),Tree Trimmers and Pruners (37-3013.00),Tree Trimmers and Pruners (37-3013.00),Tree Trimmers and Pruners (37-3013.00)
"jr. golf pro assistant, matt callaghan golf academy",Coaches and Scouts (27-2022.00),Coaches and Scouts (27-2022.00),Coaches and Scouts (27-2022.00),Coaches and Scouts (27-2022.00)
"jr. high science teacher, pathways to college k-8 school","Middle School Teachers, Except Special and Career/Technical Education (25-2022.00)","Middle School Teachers, Except Special and Career/Technical Education (25-2022.00)","Middle School Teachers, Except Special and Career/Technical Education (25-2022.00)","Middle School Teachers, Except Special and Career/Technical Education (25-2022.00)"
"jr. high youth minister, grace bible baptist church","Directors, Religious Activities and Education (21-2021.00); Clergy (21-2011.00)","Directors, Religious Activities and Education (21-2021.00); Clergy (21-2011.00)","Directors, Religious Activities and Education (21-2021.00)","Directors, Religious Activities and Education (21-2021.00);Clergy (21-2011.00)"
"jr. processor, milend, inc nmls# 148769",Loan Interviewers and Clerks (43-4131.00); Loan Officers (13-2072.00),Loan Officers (13-2072.00); Loan Interviewers and Clerks (43-4131.00),Loan Interviewers and Clerks (43-4131.00); Loan Officers (13-2072.00),Loan Interviewers and Clerks (43-4131.00);Loan Officers (13-2072.00)
"jr. publicist, bragman nyman cafarelli, llc",Public Relations Specialists (27-3031.00),Public Relations Specialists (27-3031.00),Public Relations Specialists (27-3031.00),Public Relations Specialists (27-3031.00)
"judaic studies specialist, temple menorah jewish montessori","Directors, Religious Activities and Education (21-2021.00); Area, Ethnic, and Cultural Studies Teachers, Postsecondary (25-1062.00)","Directors, Religious Activities and Education (21-2021.00); Religious Workers, All Other (21-2099.00)","Directors, Religious Activities and Education (21-2021.00); Religious Workers, All Other (21-2099.00)","Directors, Religious Activities and Education (21-2021.00);Religious Workers, All Other (21-2099.00)"
"judge, franklin county municipal court","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)"
"judge, iowa court of appeals","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)"
"judge, kansas collegiate media","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)"
"judge, pike circuit court","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)"
"judge, superior court of california, county of los angeles","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)"
"judicial clerk, 14th judicial district court",Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00)
"judicial clerk, u.s. court of appeals for the third circuit",Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00)
"judicial clerk, united states district court, middle district of louisiana",Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00)
"judicial extern to hon. deborah l. cook, u.s. court of appeals for the sixth circuit, us court of appeals for the federal circuit, u.s. courts of appeals",Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00)
"judicial extern, eighth judicial circuit of florida",Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00)
"judicial extern, equal employment opportunity commission",Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00); Equal Opportunity Representatives and Officers (13-1041.03),Judicial Law Clerks (23-1012.00)
"judicial extern, iowa supreme court",Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00)
"judicial extern, los angeles county superior court",Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00)
"judicial extern, new york state supreme court",Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00)
"judicial extern, northern district of illinois",Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00)
"judicial law clerk (bar member), los angeles superior court",Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00)
"judicial law clerk, superior court of the district of columbia",Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00)
"juice plus distributor, juice plus+","Sales and Related Workers, All Other (41-9099.00); Demonstrators and Product Promoters (41-9011.00)","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00)","Sales and Related Workers, All Other (41-9099.00)","Sales and Related Workers, All Other (41-9099.00)"
"junior aba therapist, sole trader","Therapists, All Other (29-1129.00)","Therapists, All Other (29-1129.00)","Therapists, All Other (29-1129.00)","Therapists, All Other (29-1129.00)"
"junior art director, art director, vaynermedia",Art Directors (27-1011.00),Art Directors (27-1011.00),Art Directors (27-1011.00),Art Directors (27-1011.00)
"junior chemical engineer, versa engineering & technology",Chemical Engineers (17-2041.00),Chemical Engineers (17-2041.00),Chemical Engineers (17-2041.00),Chemical Engineers (17-2041.00)
"junior field technician, coastal monitoring and analysis program - wa department of ecology","Hydrologic Technicians (19-4044.00); Environmental Science and Protection Technicians, Including Health (19-4042.00)","Hydrologic Technicians (19-4044.00); Environmental Science and Protection Technicians, Including Health (19-4042.00)","Hydrologic Technicians (19-4044.00); Environmental Science and Protection Technicians, Including Health (19-4042.00)","Hydrologic Technicians (19-4044.00);Environmental Science and Protection Technicians, Including Health (19-4042.00)"
"junior figure skating instructor, stamford twin rinks",Coaches and Scouts (27-2022.00),Coaches and Scouts (27-2022.00); Recreation Workers (39-9032.00),Coaches and Scouts (27-2022.00),Coaches and Scouts (27-2022.00)
"junior interior designer, interior designer, house of form",Interior Designers (27-1025.00),Interior Designers (27-1025.00),Interior Designers (27-1025.00),Interior Designers (27-1025.00)
"junior microbiologist, agri gold food and health care",Microbiologists (19-1022.00),Microbiologists (19-1022.00),Microbiologists (19-1022.00),Microbiologists (19-1022.00)
"junior officer, harren and partner",None (00-0000.00),None (00-0000.00),None (00-0000.00),None (00-0000.00)
"junior programmer, ab",Computer Programmers (15-1251.00),Computer Programmers (15-1251.00),Computer Programmers (15-1251.00),Computer Programmers (15-1251.00)
"junior underwriter, underwriter, mortgage underwriter, the money store, the money store ®, the money store â®",Insurance Underwriters (13-2053.00),Loan Officers (13-2072.00),Loan Officers (13-2072.00); Insurance Underwriters (13-2053.00),Insurance Underwriters (13-2053.00);Loan Officers (13-2072.00)
"junior web developer, university of nevada, reno",Web Developers (15-1254.00),Web Developers (15-1254.00),Web Developers (15-1254.00),Web Developers (15-1254.00)
"justice of the peace, naugatuck, ct","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)"
"juvenile officer, minnehaha county commission",Probation Officers and Correctional Treatment Specialists (21-1092.00),Probation Officers and Correctional Treatment Specialists (21-1092.00),Probation Officers and Correctional Treatment Specialists (21-1092.00),Probation Officers and Correctional Treatment Specialists (21-1092.00)
"juvenile probation officer supervisior, department of juvenile justice",First-Line Supervisors of Correctional Officers (33-1011.00); Probation Officers and Correctional Treatment Specialists (21-1092.00),"First-Line Supervisors of Protective Service Workers, All Other (33-1099.00); Probation Officers and Correctional Treatment Specialists (21-1092.00)",Probation Officers and Correctional Treatment Specialists (21-1092.00); First-Line Supervisors of Correctional Officers (33-1011.00),First-Line Supervisors of Correctional Officers (33-1011.00);Probation Officers and Correctional Treatment Specialists (21-1092.00)
"k-12 principal, cossatot river school district, umpire campus","Education Administrators, Kindergarten through Secondary (11-9032.00)","Education Administrators, Kindergarten through Secondary (11-9032.00)","Education Administrators, Kindergarten through Secondary (11-9032.00)","Education Administrators, Kindergarten through Secondary (11-9032.00)"
"kennel assistant, central valley vetrinary clinic",Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00),Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00),Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00); Animal Caretakers (39-2021.00),Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00)
"kennel assistant, golden valley & greenbrier animal hospitals",Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00); Animal Caretakers (39-2021.00),Animal Caretakers (39-2021.00); Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00),Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00); Animal Caretakers (39-2021.00),Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00);Animal Caretakers (39-2021.00)
"kennel assistant, platz animal hospital",Animal Caretakers (39-2021.00); Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00),Animal Caretakers (39-2021.00); Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00),Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00); Animal Caretakers (39-2021.00),Animal Caretakers (39-2021.00);Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00)
"kennel supervisor, ventura county animal services",Animal Caretakers (39-2021.00),Animal Caretakers (39-2021.00),Animal Caretakers (39-2021.00),Animal Caretakers (39-2021.00)
"kennel tech and veterinary assistant, village veterinary medical center",Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00),Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00); Animal Caretakers (39-2021.00),Animal Caretakers (39-2021.00); Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00),Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00);Animal Caretakers (39-2021.00)
"kennel tech, pine belt veterinary hospital and kennel",Animal Caretakers (39-2021.00); Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00),Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00); Animal Caretakers (39-2021.00),Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00); Animal Caretakers (39-2021.00),Animal Caretakers (39-2021.00);Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00)
"kennel technician, wagn' tails pet resort",Animal Caretakers (39-2021.00),Animal Caretakers (39-2021.00),Animal Caretakers (39-2021.00),Animal Caretakers (39-2021.00)
"keyholder, advance auto parts",First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00),Retail Salespersons (41-2031.00); First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00)
"keyholder, yogibo llc",First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00)
"kindergarten and 1st grade teacher, aurora public schools","Elementary School Teachers, Except Special Education (25-2021.00); Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00); Elementary School Teachers, Except Special Education (25-2021.00)","Elementary School Teachers, Except Special Education (25-2021.00); Kindergarten Teachers, Except Special Education (25-2012.00)","Elementary School Teachers, Except Special Education (25-2021.00);Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten and first grade teacher, desert torah academy","Elementary School Teachers, Except Special Education (25-2021.00); Kindergarten Teachers, Except Special Education (25-2012.00)","Elementary School Teachers, Except Special Education (25-2021.00); Kindergarten Teachers, Except Special Education (25-2012.00)","Elementary School Teachers, Except Special Education (25-2021.00); Kindergarten Teachers, Except Special Education (25-2012.00)","Elementary School Teachers, Except Special Education (25-2021.00);Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten assistant, haverhill day care","Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education (25-9042.00)","Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education (25-9042.00)","Childcare Workers (39-9011.00); Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education (25-9042.00)","Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education (25-9042.00)"
"kindergarten coordinator, k-1 coordinator, lextended day","Instructional Coordinators (25-9031.00); Education Administrators, Kindergarten through Secondary (11-9032.00)","Education Administrators, Kindergarten through Secondary (11-9032.00); Education and Childcare Administrators, Preschool and Daycare (11-9031.00)","Education Administrators, Kindergarten through Secondary (11-9032.00); Education and Childcare Administrators, Preschool and Daycare (11-9031.00)","Education Administrators, Kindergarten through Secondary (11-9032.00);Education and Childcare Administrators, Preschool and Daycare (11-9031.00)"
"kindergarten interventionist, clark county school district","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten special education classroom teacher, claremore public schools","Special Education Teachers, Kindergarten (25-2055.00)","Special Education Teachers, Kindergarten (25-2055.00)","Special Education Teachers, Kindergarten (25-2055.00)","Special Education Teachers, Kindergarten (25-2055.00)"
"kindergarten support teacher, kindergarten teacher, cherry creek school district","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00); Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education (25-9042.00)","Kindergarten Teachers, Except Special Education (25-2012.00); Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education (25-9042.00)","Kindergarten Teachers, Except Special Education (25-2012.00);Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education (25-9042.00)"
"kindergarten teacher at cunningham elementary school, austin independent school district","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten teacher at kipp ascend primary, kipp chicago","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten teacher, bridgeport hope school","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten teacher, canadian school of milan","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten teacher, greenville county schools","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten teacher, herod elementary school","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten teacher, irving isd","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten teacher, lake erie college preparatory school","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten teacher, lawton-taylor academy","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten teacher, leesville road elementary school","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten teacher, oak grove school district","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten teacher, palm spring unified school district","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten teacher, pearl academy","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten teacher, richardson isd","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten teacher, second grade teacher, bloomfield public schools","Kindergarten Teachers, Except Special Education (25-2012.00); Elementary School Teachers, Except Special Education (25-2021.00)","Kindergarten Teachers, Except Special Education (25-2012.00); Elementary School Teachers, Except Special Education (25-2021.00)","Elementary School Teachers, Except Special Education (25-2021.00); Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00);Elementary School Teachers, Except Special Education (25-2021.00)"
"kindergarten teacher, sierra sands unified school district","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten teacher, weber school district","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Kindergarten Teachers, Except Special Education (25-2012.00)"
"kindergarten-2nd grade music, valley view elementary school","Elementary School Teachers, Except Special Education (25-2021.00); Kindergarten Teachers, Except Special Education (25-2012.00)","Elementary School Teachers, Except Special Education (25-2021.00); Kindergarten Teachers, Except Special Education (25-2012.00)","Elementary School Teachers, Except Special Education (25-2021.00); Kindergarten Teachers, Except Special Education (25-2012.00)","Elementary School Teachers, Except Special Education (25-2021.00);Kindergarten Teachers, Except Special Education (25-2012.00)"
"kitchen and bath designer, authentic kitchens and baths concepts",Interior Designers (27-1025.00),Interior Designers (27-1025.00),Interior Designers (27-1025.00),Interior Designers (27-1025.00)
"kitchen assistant, central community college",Food Preparation Workers (35-2021.00),Food Preparation Workers (35-2021.00),Food Preparation Workers (35-2021.00),Food Preparation Workers (35-2021.00)
"kitchen help, jets pizza",Food Preparation Workers (35-2021.00); Dishwashers (35-9021.00),Dishwashers (35-9021.00); Fast Food and Counter Workers (35-3023.00); Food Preparation Workers (35-2021.00),Food Preparation Workers (35-2021.00); Dishwashers (35-9021.00),Food Preparation Workers (35-2021.00);Dishwashers (35-9021.00)
"kitchen manager, 4 rivers smokehouse",Food Service Managers (11-9051.00); First-Line Supervisors of Food Preparation and Serving Workers (35-1012.00),Food Service Managers (11-9051.00); First-Line Supervisors of Food Preparation and Serving Workers (35-1012.00),First-Line Supervisors of Food Preparation and Serving Workers (35-1012.00); Food Service Managers (11-9051.00),Food Service Managers (11-9051.00);First-Line Supervisors of Food Preparation and Serving Workers (35-1012.00)
"kitchen staff, a-theme catering and events","Food Preparation and Serving Related Workers, All Other (35-9099.00); Food Preparation Workers (35-2021.00)","Food Preparation Workers (35-2021.00); Food Preparation and Serving Related Workers, All Other (35-9099.00)","Food Preparation Workers (35-2021.00); Food Preparation and Serving Related Workers, All Other (35-9099.00)","Food Preparation and Serving Related Workers, All Other (35-9099.00);Food Preparation Workers (35-2021.00)"
"kitchen worker, johnny's pizza house","Cooks, Restaurant (35-2014.00); Food Preparation Workers (35-2021.00)","Cooks, Restaurant (35-2014.00); Cooks, Fast Food (35-2011.00); Food Preparation Workers (35-2021.00)",Food Preparation Workers (35-2021.00),"Cooks, Restaurant (35-2014.00);Food Preparation Workers (35-2021.00)"
"knox farm summer crew worker, knox college","Farmworkers and Laborers, Crop, Nursery, and Greenhouse (45-2092.00)","Farmworkers and Laborers, Crop, Nursery, and Greenhouse (45-2092.00)","Farmworkers and Laborers, Crop, Nursery, and Greenhouse (45-2092.00)","Farmworkers and Laborers, Crop, Nursery, and Greenhouse (45-2092.00)"
